KATEGORI,NAMA INSTANSI,PROVINSI,KABUPATEN,KECAMATAN,TOTAL BELANJA,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,VISIT/CANVAS,KETERANGAN,ALAMAT,HUT
SD NEGERI,SD NEGERI 1 BANJARHARJO,DI YOGYAKARTA,BANTUL,DLINGO,0,0,0,0,0,0,0,0,0,0,0,12/10/2023,,,
SD NEGERI,SD NEGERI 1 DODOGAN,DI YOGYAKARTA,BANTUL,DLINGO,0,0,0,0,0,0,0,0,0,0,0,12/10/2023,,,
SD NEGERI,SD NEGERI 1 JATIMULYO,DI YOGYAKARTA,BANTUL,DLINGO,0,0,0,0,0,0,0,0,0,0,0,12/10/2023,,,
SD NEGERI,SD NEGERI 1 SUKORAME,DI YOGYAKARTA,BANTUL,DLINGO,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI 1 TEMUWUH,DI YOGYAKARTA,BANTUL,DLINGO,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI 1 TERONG,DI YOGYAKARTA,BANTUL,DLINGO,0,0,0,0,0,0,0,0,0,0,0,12/10/2023,,,
SD NEGERI,SD NEGERI 2 BANJARHARJO,DI YOGYAKARTA,BANTUL,DLINGO,0,0,0,0,0,0,0,0,0,0,0,12/10/2023,,,
SD NEGERI,SD NEGERI 2 DODOGAN,DI YOGYAKARTA,BANTUL,DLINGO,0,0,0,0,0,0,0,0,0,0,0,12/10/2023,,,
SD NEGERI,SD NEGERI 2 TEMUWUH,DI YOGYAKARTA,BANTUL,DLINGO,0,0,0,0,0,0,0,0,0,0,0,16/10/2023,,,
SD NEGERI,SD NEGERI 2 TERONG,DI YOGYAKARTA,BANTUL,DLINGO,0,0,0,0,0,0,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI 3 TEMUWUH,DI YOGYAKARTA,BANTUL,DLINGO,0,0,0,0,0,0,0,0,0,0,0,16/10/2023,,,
SD NEGERI,SD NEGERI BANYUURIP,DI YOGYAKARTA,BANTUL,DLINGO,50.000,0,0,0,0,0,50.000,0,0,0,0,16/10/2023,,,
SD NEGERI,SD NEGERI DLINGO,DI YOGYAKARTA,BANTUL,DLINGO,7.200.000,0,0,0,0,7.200.000,0,0,0,0,0,,,,
SD NEGERI,SD NEGERI KANIGORO,DI YOGYAKARTA,BANTUL,DLINGO,0,0,0,0,0,0,0,0,0,0,0,,,,
