nama_distributor,tipe_pajak
PT SANUR PRO INDO TEKNOLOGI,PPN
PT SARANA MITRA ERAGLOBAL,PPN
PT SARANA SOLUSINDO SEJATI,PPN
PT SATUTEMPAT IDEAL GEMILANG,PPN
PT SEMPURNA SEJAHTERA KOMPUTINDO,PPN
PT SETIA HARAPAN COMPUTER,PPN
PT SHINSHE TEKNO INDONESIA,NON PPN
PT SINAR SEJAHTERA MANDIRI,PPN
PT SINYO BERDIKARI SUKSES,PPN
PT SISTECH KHARISMA,PPN
PT SMARTINDO INTEGRASI SYSTEM,PPN
PT SUKA MAJU GEMILANG,PPN
PT SURYA ARTHA KOMPUTAMA,PPN
PT SURYA CANDRA,PPN
PT SURYA MAKMUR KREASINDO,PPN
PT SYNNEX METRODATA INDONESIA,PPN
PT TAN ENERGY INDONESIA,PPN
PT TECH DATA ADVANCED SOLUTIONS INDONESIA,PPN
PT TEKNO MANDIRI ABADI,NON PPN
PT TEKUN JAYA UTAMA,PPN
PT TELETAMA ARTHA MANDIRI,PPN
PT TERA DATA INDONUSA TBK,PPN
PT TIXPRO INFORMATIKA MEGAH,PPN
PT TOA GALVA PRIMA KARYA,PPN
PT TOTAL SENTRA PRATAMA,NON PPN
PT TRIPERWIRA MULTI PAMENANG,PPN
PT TRITUNGGAL JAYA KOMPUTINDO,PPN
PT UTAMA RACKINDO SEMESTA,PPN
PT VARRO SUKSES ABADI,PPN
PT WAHANA PIRANTI GUNA,PPN
PT WISNO GRAHAKOM,PPN
PT WOOK GLOBAL TECHNOLOGY,NON PPN
REX COMPUTER,NON PPN
RUMAH HT,NON PPN
RUS COMP,NON PPN
SANUR MULTIMEDIA,NON PPN
SC COMPUTER,NON PPN
SCREEN SOLUTION,NON PPN
SELALU ADA SOLUSI,PPN
SHOPEE,NON PPN
SINAR UTAMA BATTERY,NON PPN
SJN COMPUTER,NON PPN
SMART VISION,NON PPN
SME,NON PPN
SOLUTION,NON PPN
SUN PRIMA,NON PPN
SUPARJO COMPUTER,NON PPN
SURYA ARTHA KOMPUTAMA,PPN
SYAFI KOMPUTER,NON PPN
TALENTA,NON PPN
TAMAN BUNGA,NON PPN
TOKOPEDIA,NON PPN
TOSSCA COMPUTAMA,NON PPN
TUNAS MEKAR,NON PPN
UNIVERSAL TEKNO COMPUTINDO,NON PPN
UTAMA COMPUTER,NON PPN
WPG NO FP,NON PPN
YOGYA TEKNIK,NON PPN
YOGYATEKNIK,PPN
YOUNGS COMP,NON PPN
